0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, the company does engage with suppliers to manage climate-related risks in its supply chain. This is evident from their commitment to ensuring high standards of social responsibility in all regions where the company operates. They require their suppliers to adhere to environmental laws, ethical behavior, and socially responsible practices. Additionally, the company works with over 10,000 suppliers globally and ensures that purchased materials meet current governmental, environmental, and safety criteria. Through their supply chain operations, they focus on compliance and responsible sourcing practices to mitigate climate-related risks.","Yes, the company does engage with suppliers to manage climate-related risks in its supply chain. They have achieved responsible minerals assurance process (RMAP) conformity with smelters and have ongoing processes to ensure supplier conformance and to address any issues related to uncertified minerals from conflict regions. The company also actively participates in various committees related to responsible minerals resourcing. Additionally, they hosted a Global Sourcing and Procurement Summit in 2019 to engage with suppliers, recognize outstanding performance, and promote excellence in quality.","Yes, the company actively engages with suppliers to manage climate-related risks in its supply chain. They follow a structured approach by clearly communicating expectations, conducting risk assessments, providing training opportunities, performing verification audits, and addressing any non-conformances. The company collaborates with major suppliers to ensure adherence to codes of conduct and conducts regular engagement cycles to keep suppliers informed and aligned with the latest standards and guidelines. Additionally, they work towards conflict-free sourcing of minerals by collaborating with suppliers and industry initiatives, such as the Responsible Minerals Initiative, to address human rights and ethical concerns in the supply chain."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, the company discloses its greenhouse gas emissions, including Scope 1 and Scope 2 emissions. However, the disclosure for Scope 3 emissions is not regularly measured. The company conducted a study in the past to measure the change in its carbon footprint related to changes made in its logistics network, which resulted in optimization leading to cost reduction and an improved carbon footprint.",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, the company does report on its climate-related risks, opportunities, and financial impacts. This information can be found in the Corporate Social Responsibility Report on page 80 under the section ""Our Planet: Climate Change"".",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, the company ON Semiconductor discloses its energy consumption and efficiency measures. On page 55 of their report, they provide details on their total energy consumption, energy conservation projects, and the results of their energy efficiency efforts at their manufacturing site in Suzhou, China. They also include data on electricity consumption at their wafer fab and assembly and test operations, along with normalized values and targets.","Yes, the company ON Semiconductor discloses its energy consumption and efficiency measures on Page 53 of their report. They have integrated climate change into their business operations and strategy by focusing on reducing their carbon footprint and improving energy efficiency. They offer products that help contribute to climate-related reductions and advocate for sustainability both internally and externally. The company also mentions government regulations for improved energy efficiency and highlights their portfolio of energy-efficient products designed to minimize power consumption.","Yes, the company discloses its energy consumption and efficiency measures in its Corporate Social Responsibility Report on Page 74 under the category of Energy Efficient Semiconductors. The report includes information about the aspect boundaries, entities impacted, and scope of energy efficiency measures within the organization."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, the company ON Semiconductor does disclose its renewable energy usage and investments. The company emphasizes its commitment to sustainability and mentions achieving success in conservation programs that are vital to its semiconductor device manufacturing business. They invest in engineering and administrative controls to prevent environmental pollution, indicating a focus on renewable energy and sustainability efforts.",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, the company ON Semiconductor engages with executive staff, employees, customers, and suppliers to determine the materiality of economic, environmental, and social issues. The company considers fourteen issues to be of high importance to stakeholders and business operations, with a focus on addressing the fifteen high-priority issues rated by stakeholders in their business operations. The company collaborates with stakeholders, including investors, customers, and suppliers, on climate-related initiatives as part of their sustainability efforts.","Yes, the company ON Semiconductor engages with various stakeholders, including employees, through methods such as open-door policy, training, employee surveys, performance appraisals, and internal communications. This shows a commitment to incorporating stakeholder views in operational and strategic decisions.",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, ON Semiconductor participates in climate-related initiatives and alliances such as the Carbon Disclosure Project as mentioned on page 69 of their corporate report.",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
